filtered_street,WEIGHT
Brooklyn Avenue,192.0
Brooklyn Battery Tunnel,8.0
Brooklyn Bridge,25.0
Brooklyn Qns Expressway,10.0
Brooklyn Queens Expressway,1448.0
Brooklyn Queens Expressway Ramp,13.0
Brooklyn Queens Expy (Cdr),1.0
Brooks Pond Place,1.0
Brookside Street,3.0
Brookville Boulevard,115.0
Broome Street,51.0
Brown Place,8.0
Brown Street,15.0
Browvale Lane,1.0
Bruckner Avenue,1.0
Bruckner Boulevard,942.0
Bruckner Expressway,665.0
Bruckner Expressway Ramp,4.0
Bruner Avenue,19.0
Brunswick Avenue,1.0
Brush Avenue,35.0
Bryant Avenue,50.0
Bryant Park,4.0
Bryant Street,1.0
Buchanan Place,2.0
Buck Street,3.0
Bud Place,1.0
Buel Avenue,4.0
Buell Street,1.0
Buffalo Avenue,67.0
Buffalo Street,6.0
Buhre Avenue,11.0
Bullard Avenue,4.0
Bulova Avenue,1.0
Bulwer Place,1.0
Burbank Avenue,2.0
Burden Crescent,1.0
Burgher Avenue,3.0
Burke Avenue,54.0
Burling Street,4.0
Burnett Street,2.0
Burns Street,10.0
Burr Avenue,3.0
Bush Avenue,1.0
Bush Street,1.0
Bushwick Avenue,543.0
Bushwick Place,2.0
Bussing Avenue,22.0
Butler Avenue,1.0
Butler Place,6.0
Butler Street,12.0
Buttrick Avenue,1.0
Byron Avenue,10.0
Cabot Road,1.0
Cabrini Boulevard,2.0
Cadman Plaza East,4.0
Cadman Plaza West,33.0
Caffrey Avenue,8.0
Calamus Avenue,6.0
Caldwell Avenue,7.0
Calhoun Avenue,3.0
Calloway Street,11.0
Calyer Street,15.0
Cambreleng Avenue,2.0
Cambria Avenue,1.0
Cambridge Avenue,6.0
Cambridge Place,1.0
Cameron Place,4.0
Campbell Avenue,1.0
Campus Road,12.0
Canal Avenue,1.0
Canal Place,7.0
Canal Street,261.0
Canarsie Road,9.0
Caney Lane,3.0
Caney Road,4.0
Cannon Boulevard,1.0
Cannon Place,6.0
Canterbury Avenue,3.0
Capodanno Boulevard,64.0
Carlton Avenue,25.0
Carlton Boulevard,1.0
Carlyle Green,1.0
Carmine Street,4.0
Caroll Street,1.0
Carpenter Avenue,47.0
Carroll Place,1.0
Carroll Street,30.0
Carson Street,2.0
Carter Avenue,8.0
Carteret Street,3.0
Carver Loop,4.0
Cary Avenue,12.0
Casals Place,4.0
Casanova Street,6.0
Case Street,7.0
Cass Place,4.0
Cassidy Place,1.0
Castle Hill Avenue,116.0
Castleton Avenue,75.0
Catalpa Avenue,21.0
Cathedral Parkway,17.0
Cathedral Place,1.0
Catherine Street,3.0
Caton Avenue,80.0
Cauldwell Avenue,43.0
Cayuga Avenue,1.0
Cebra Avenue,3.0
Cedar Avenue,24.0
Cedar Lawn Avenue,2.0
Cedar Street,10.0
Cedar Terrace,1.0
Center Boulevard,1.0
Center Drive,3.0
Center Place,1.0
Central Avenue,158.0
Central Park North,13.0
Central Park South,25.0
Central Park West,112.0
Centre Mall,1.0
Centre Street,58.0
Centreville Avenue,14.0
Chambers Street,47.0
Chandler Street,2.0
Channel Avenue,3.0
Chapel Street,3.0
Chapin Parkway,4.0
Chappell Street,1.0
Charles Avenue,6.0
Charles Street,11.0
Charleston Avenue,3.0
Charlton Street,2.0
Chase Court,1.0
Chatham Square,1.0
Chatterton Avenue,16.0
Chauncey Street,34.0
Cheever Place,2.0
Chelsea Road,3.0
Chelsea Street,3.0
Cherry Avenue,12.0
Cherry Street,13.0
Chester Avenue,2.0
Chester Court,1.0
Chester Place,1.0
Chester Street,48.0
Chesterton Avenue,2.0
Chestnut Avenue,1.0
Chestnut Circle,1.0
Chestnut Drive North,1.0
Chestnut Street,21.0
Chevy Chase Street,1.0
Chisholm Street,5.0
Chisum Place,2.0
Christie Avenue,3.0
Christopher Lane,7.0
Christopher Street,16.0
Chrystie Street,73.0
Church Avenue,400.0
Church Street,46.0
Circle Loop,1.0
City Island Avenue,64.0
City Island Bridge,10.0
City Island Road,2.0
Claflin Avenue,6.0
Clara Street,3.0
Claremont Avenue,6.0
Claremont Parkway,60.0
Clarence Avenue,1.0
Clarendon Road,127.0
Clark Street,1.0
Clarke Avenue,4.0
Clarkson Avenue,129.0
Clarkson Street,11.0
Classon Avenue,100.0
Claude Avenue,5.0
Claver Place,1.0
Clawson Street,7.0
Clay Avenue,49.0
Clay Street,4.0
Clearview Expressway,202.0
Clermont Avenue,22.0
Cleveland Avenue,6.0
Cleveland Place,1.0
Cleveland Street,33.0
Clifford Place,3.0
Clifton Avenue,5.0
Clifton Place,13.0
Clinton Avenue,44.0
Clinton Place,1.0
Clinton Street,89.0
Clintonville Street,11.0
Cloister Place,1.0
Close Avenue,5.0
Clove Road,102.0
Clover Place,6.0
Cloverdale Boulevard,7.0
Clyde Street,4.0
Clymer Street,18.0
Coddington Avenue,14.0
Cody Avenue,3.0
Cody Place,1.0
Coffey Street,3.0
Cohancy Street,5.0
Colden Avenue,11.0
Colden Street,6.0
Coldspring Road,1.0
Coleman Street,7.0
Coleridge Street,1.0
Colfax Street,1.0
Colgate Avenue,13.0
College Avenue,27.0
College Place,3.0
College Point Boulevard,227.0
Collier Avenue,4.0
Collins Place,1.0
Colon Avenue,1.0
Colonial Avenue,2.0
Colonial Road,20.0
Colony Avenue,3.0
Columbia Heights,4.0
Columbia Street,50.0
Columbus Avenue,109.0
Columbus Circle,17.0
Columbus Place,1.0
Commerce Avenue,16.0
Commerce Street,1.0
Commercial Street,3.0
Commonwealth Boulevard,11.0
Commonwlth Avenue,13.0
Compton Avenue,1.0
Comstock Avenue,2.0
Concord Avenue,15.0
Concord Street,8.0
Concourse Village East,12.0
Concourse Village West,11.0
Conduit Avenue,4.0
Conduit Boulevard,69.0
Coney Island Avenue,361.0
Congress Street,5.0
Conklin Avenue,21.0
Conner Street,65.0
Conover Street,10.0
Conselyea Street,4.0
Continental Avenue,3.0
Convent Avenue,42.0
Conway Street,12.0
Conyingham Avenue,1.0
Cook Street,5.0
Coolidge Avenue,5.0
Coombs Street,1.0
Coonley Court,1.0
Coop City Boulevard,31.0
Cooper Avenue,92.0
Cooper Square,3.0
Cooper Street,33.0
Copley Street,3.0
Corbett Road,1.0
Corbin Avenue,1.0
Corbin Place,11.0
Corlear Avenue,7.0
Cornaga Avenue,22.0
Cornaga Court,1.0
Cornelia Avenue,1.0
Cornelia Street,43.0
Cornish Avenue,1.0
Corona Avenue,84.0
Correll Avenue,1.0
Corsa Avenue,5.0
Corson Avenue,2.0
Cortelyou Avenue,4.0
Cortelyou Road,105.0
Cortlandt Street,5.0
Coster Street,8.0
Country Club Road,6.0
Country Point Circle,3.0
Court Square,3.0
Court Street,63.0
Courtlandt Avenue,19.0
Coverly Avenue,1.0
Covert Street,16.0
Covington Circle,1.0
Cowen Place,1.0
Coyle Street,5.0
Cozine Avenue,58.0
Craft Avenue,1.0
Craig Avenue,8.0
Crandall Avenue,3.0
Cranford Avenue,9.0
Cranford Street,3.0
Cranston Street,3.0
Crawford Avenue,6.0
Creamer Street,2.0
Crescent Avenue,4.0
Crescent Street,182.0
Cresskill Place,1.0
Creston Avenue,51.0
Crittenden Place,2.0
Crocheron Avenue,15.0
Croes Avenue,13.0
Crommelin Street,1.0
Cromwell Avenue,15.0
Crooke Avenue,9.0
Cropsey Avenue,175.0
Crosby Avenue,35.0
Crosby Street,6.0
Cross Bay Boulevard,266.0
Cross Bronx Expressway,172.0
Cross Bronx Expy,984.0
Cross Bronx Expy Ramp,2.0
Cross Bronx Extention,18.0
Cross Island Parkway,868.0
Cross Street,3.0
Crotona Avenue,80.0
Crotona Park East,16.0
Crotona Park North,24.0
Crotona Park South,4.0
Crotona Parkway,13.0
Crown Street,24.0
Croydon Road,1.0
Cruger Avenue,27.0
Crystal Avenue,3.0
Crystal Street,6.0
Cumberland Street,5.0
Cumming Street,3.0
Curtis Place,2.0
Curtis Street,1.0
Curzon Road,1.0
Cuthbert Road,1.0
Cypress Avenue,153.0
Cypress Hill Street,11.0
Cypress Hills Street,28.0
Cyrus Avenue,4.0
Cyrus Place,1.0
Dahill Road,45.0
Dahlgren Place,2.0
Dahlia Avenue,2.0
Dalny Road,6.0
Daly Avenue,7.0
Daniel Low Terrace,2.0
Daniels Street,1.0
Dark Street,3.0
Darlington Avenue,6.0
Darren Drive,1.0
Darrow Place,1.0
Dartmouth Street,2.0
Dash Place,1.0
Davidson Avenue,62.0
Davies Road,2.0
Davis Avenue,3.0
Dawson Street,4.0
Dayna Drive,1.0
De Costa Avenue,1.0
De Graw Street,13.0
De Kalb Avenue,237.0
De Witt Avenue,26.0
Dean Avenue,4.0
Dean Street,119.0
Dearborn Court,1.0
Debevoise Avenue,4.0
Debevoise Street,4.0
Decatur Avenue,32.0
Decatur Street,73.0
Decker Avenue,16.0
Deerfield Road,2.0
Degroot Place,1.0
Dekalb Avenue,11.0
Dekalb Street,7.0
Dekay Street,1.0
Delafield Avenue,8.0
Delancey Street,201.0
Delavall Avenue,2.0
Delaware Avenue,5.0
Delaware Street,3.0
Delevan Street,1.0
Delmar Avenue,4.0
Delmar Loop,1.0
Delmonico Place,1.0
Delong Street,5.0
Denis Street,1.0
Denman Street,1.0
Depot Place,3.0
Depot Road,3.0
Dereimer Avenue,12.0
Desarc Road,1.0
Desmond Court,1.0
Detroit Avenue,2.0
Devoe Avenue,3.0
Devoe Street,11.0
Devoe Terrace,2.0
Devon Loop,1.0
Dewey Avenue,4.0
Dewey Place,1.0
Dewitt Place,7.0
Dexter Court,4.0
Diamond Street,8.0
Dianas Trail,3.0
Dickens Street,9.0
Dickie Avenue,1.0
Dickinson Avenue,1.0
Dieterle Crescent,2.0
Digney Avenue,4.0
Dikeman Street,2.0
Dillon Street,2.0
Dinsmore Avenue,4.0
Dinsmore Place,3.0
Disosway Place,1.0
Ditmars Boulevard,133.0
Ditmars Street,1.0
Ditmas Avenue,98.0
Division Avenue,32.0
Division Place,2.0
Division Street,17.0
Dix Avenue,4.0
Dixon Avenue,4.0
Doane Avenue,1.0
Dobbin Street,4.0
Dodworth Street,3.0
Dogwood Drive,1.0
Dominick Street,2.0
Dongan Avenue,1.0
Dongan Place,4.0
Dongan Street,2.0
Donizetti Place,2.0
Doran Avenue,2.0
Dorchester Road,21.0
Doris Street,5.0
Dormans Road,2.0
Dorset Street,1.0
Doscher Street,6.0
Douglas Avenue,1.0
Douglas Road,1.0
Douglass Street,11.0
Douglaston Parkway,15.0
Dover Street,10.0
Downes Avenue,1.0
Downing Street,11.0
Doyers Street,1.0
Dreiser Loop,9.0
Drew Street,15.0
Driggs Avenue,36.0
Driggs Street,1.0
Drive,1.0
Drumgoole Road East,21.0
Drumgoole Road West,22.0
Dry Harbor Road,12.0
Drysdale Street,1.0
Duane Street,7.0
Dublin Place,1.0
Dubois Avenue,5.0
Dudley Avenue,1.0
Duer Lane,1.0
Duffield Street,13.0
Dumont Avenue,88.0
Duncan Street,6.0
Duncomb Avenue,2.0
Dunkirk Drive,3.0
Dunkirk Street,13.0
Dunne Court,2.0
Dunton Avenue,2.0
Dunton Street,1.0
Dupont Street,1.0
Durant Avenue,1.0
Durland Place,3.0
Duryea Avenue,1.0
Duryea Court,1.0
Dutch Kills Street,2.0
Dutchess Avenue,1.0
Dwight Street,5.0
Dyckman Street,92.0
Dyer Avenue,18.0
Dyre Avenue,13.0
Eagle Avenue,12.0
Eagle Street,6.0
Eames Place,1.0
East 1 Street,13.0
East 10 Street,57.0
East 100 Street,15.0
East 101 Street,24.0
East 102 Street,56.0
East 103 Street,33.0
East 104 Street,30.0
East 105 Street,42.0
East 106 Street,61.0
East 107 Street,10.0
East 108 Street,46.0
East 109 Street,20.0
East 11 Street,21.0
East 110 Street,32.0
East 111 Street,26.0
East 112 Street,37.0
East 113 Street,8.0
East 114 Street,3.0
East 115 Street,42.0
East 116 Street,146.0
East 117 Street,41.0
East 118 Street,38.0
East 119 Street,38.0
East 12 Street,81.0
East 120 Street,28.0
East 121 Street,4.0
East 122 Street,28.0
East 123 Street,25.0
East 124 Street,33.0
East 125 Street,162.0
East 126 Street,32.0
East 127 Street,16.0
East 128 Street,45.0
East 129 Street,30.0
East 13 Street,66.0
East 130 Street,11.0
East 131 Street,13.0
East 132 Street,51.0
East 133 Street,6.0
East 134 Street,39.0
East 135 Street,160.0
East 136 Street,10.0
East 137 Street,37.0
East 138 Street,200.0
East 139 Street,46.0
East 14 Street,123.0
East 140 Street,43.0
East 141 Street,48.0
East 142 Street,19.0
East 143 Street,30.0
East 144 Street,45.0
East 145 Street,14.0
East 146 Street,20.0
East 147 Street,20.0
East 148 Street,6.0
East 149 Street,296.0
East 15 Street,51.0
East 150 Street,29.0
East 151 Street,40.0
East 152 Street,9.0
East 153 Street,17.0
East 154 Street,5.0
East 155 Street,6.0
East 156 Street,74.0
East 157 Street,22.0
East 158 Street,16.0
East 159 Street,7.0
East 16 Street,54.0
East 160 Street,12.0
East 161 Street,183.0
East 162 Street,15.0
East 163 Street,162.0
East 164 Street,34.0
East 165 Street,101.0
East 166 Street,46.0
East 167 Street,91.0
East 168 Street,35.0
East 169 Street,80.0
East 17 Street,58.0
East 170 Street,71.0
East 171 Street,22.0
East 172 Street,56.0
East 173 Street,53.0
East 174 Street,147.0
East 175 Street,74.0
East 176 Street,64.0
East 177 Street,50.0
East 178 Street,55.0
East 179 Street,52.0
East 18 Street,72.0
East 180 Street,109.0
East 181 Street,54.0
East 182 Street,41.0
East 183 Street,39.0
East 184 Street,46.0
East 185 Street,5.0
East 186 Street,1.0
East 187 Street,44.0
East 188 Street,58.0
East 189 Street,19.0
East 19 Street,72.0
East 190 Street,1.0
East 191 Street,2.0
East 192 Street,10.0
East 193 Street,16.0
East 194 Street,25.0
East 195 Street,4.0
East 196 Street,41.0
East 197 Street,10.0
East 198 Street,23.0
East 199 Street,9.0
East 2 Street,34.0
East 20 Street,42.0
East 201 Street,9.0
East 202 Street,5.0
East 203 Street,5.0
East 204 Street,21.0
East 205 Street,5.0
East 206 Street,3.0
East 207 Street,7.0
East 208 Street,13.0
East 209 Street,5.0
East 21 Street,79.0
East 210 Street,8.0
East 211 Street,25.0
East 212 Street,4.0
East 213 Street,24.0
East 214 Street,14.0
East 215 Street,7.0
East 216 Street,20.0
East 217 Street,17.0
East 218 Street,11.0
East 219 Street,12.0
East 22 Street,38.0
East 220 Street,10.0
East 221 Street,20.0
East 222 Street,59.0
East 223 Street,22.0
East 224 Street,28.0
East 225 Street,24.0
East 226 Street,23.0
East 227 Street,16.0
East 228 Street,39.0
East 229 Drive North,1.0
East 229 Street,22.0
East 23 Street,104.0
East 230 Street,12.0
East 231 Street,22.0
East 232 Street,26.0
East 233 Street,263.0
East 234 Street,19.0
East 235 Street,14.0
East 236 Street,37.0
East 237 Street,17.0
East 238 Street,1.0
East 239 Street,12.0
East 24 Street,26.0
East 240 Street,21.0
East 241 Street,41.0
East 242 Street,6.0
East 243 Street,4.0
East 25 Street,25.0
East 26 Street,53.0
East 27 Street,37.0
East 28 Street,54.0
East 29 Street,60.0
East 3 Street,62.0
East 30 Street,20.0
East 31 Street,34.0
East 32 Street,38.0
East 33 Street,23.0
East 34 Street,161.0
East 35 Street,69.0
East 36 Street,53.0
East 37 Street,107.0
East 38 Street,58.0
East 39 Street,36.0
East 4 Street,35.0
East 40 Street,29.0
East 41 Street,19.0
East 42 Street,94.0
East 43 Street,30.0
East 44 Street,15.0
East 45 Street,49.0
East 46 Street,37.0
East 47 Street,14.0
East 48 Street,49.0
East 49 Street,50.0
East 5 Street,36.0
East 50 Street,12.0
East 51 Street,85.0
East 52 Street,70.0
East 53 Street,74.0
East 54 Street,57.0
East 55 Street,52.0
East 56 Street,56.0
East 57 Street,89.0
East 58 Street,49.0
East 59 Street,102.0
East 6 Street,35.0
East 60 Street,51.0
East 61 Street,58.0
East 62 Street,62.0
East 63 Street,50.0
East 64 Street,31.0
East 65 Street,35.0
East 66 Street,47.0
East 67 Street,30.0
East 68 Street,23.0
East 69 Street,16.0
East 7 Street,41.0
East 70 Street,25.0
East 71 Street,36.0
East 72 Street,44.0
East 73 Street,17.0
East 74 Street,28.0
East 75 Street,18.0
East 76 Street,33.0
East 77 Street,22.0
East 78 Street,27.0
East 79 Street,44.0
East 8 Street,46.0
East 80 Street,115.0
East 81 Street,29.0
East 82 Street,35.0
East 83 Street,49.0
East 84 Street,44.0
East 85 Street,52.0
East 86 Street,53.0
East 87 Street,31.0
East 88 Street,43.0
East 89 Street,29.0
East 9 Street,43.0
East 90 Street,23.0
East 91 Street,39.0
East 92 Street,91.0
East 93 Street,61.0
East 94 Street,84.0
East 95 Street,79.0
East 96 Street,143.0
East 97 Street,25.0
East 98 Street,95.0
East 99 Street,31.0
East Avenue,3.0
East Bay Avenue,16.0
East Broadway,38.0
East Burnside Avenue,65.0
East Clarke Place,6.0
East Drive,19.0
East End Avenue,9.0
East Fordham Road,218.0
East Gun Hill Road,376.0
East Hampton Boulevard,2.0
East Houston Street,163.0
East Kingsbridge Road,33.0
East Mosholu Parkway North,20.0
East Mosholu Parkway South,27.0
East Mount Eden Avenue,25.0
East New York Avenue,170.0
East Service Road,1.0
East Tremont Avenue,551.0
East Williston Avenue,15.0
Eastburn Avenue,10.0
Eastchester Road,128.0
Eastern Parkway,603.0
Eaton Place,1.0
Ebey Lane,3.0
Echo Place,1.0
Eckford Avenue,3.0
Eckford Street,10.0
Edenwald Avenue,21.0
Edgecombe Avenue,45.0
Edgegrove Avenue,3.0
Edgemere Avenue,19.0
Edgerton Boulevard,2.0
Edgewater Road,47.0
Edgewater Street,1.0
Edgewood Avenue,7.0
Edison Avenue,15.0
Edsall Avenue,1.0
Edson Avenue,19.0
Egbert Avenue,3.0
Eggert Place,1.0
Einstein Loop,7.0
Elbertson Street,5.0
Elder Avenue,17.0
Eldert Street,13.0
Elderts Lane,43.0
Eldridge Street,22.0
Elgar Place,1.0
Eliot Avenue,84.0
Elizabeth Avenue,1.0
Elizabeth Street,29.0
Elk Drive,4.0
Ellery Street,1.0
Elliot Place,9.0
Ellis Avenue,15.0
Ellison Avenue,1.0
Ellsworth Avenue,8.0
Ellwell Crescent,1.0
Ellwood Street,1.0
Elm Avenue,1.0
Elm Place,6.0
Elm Street,3.0
Elmhurst Avenue,17.0
Elmira Loop,2.0
Elmwood Avenue,6.0
Elmwood Park Drive,1.0
Elsmere Place,2.0
Eltingville Boulevard,1.0
Elton Avenue,8.0
Elton Street,58.0
Ely Avenue,19.0
Emerald Street,1.0
Emerson Place,2.0
Emmet Avenue,1.0
Emmons Avenue,80.0
Empire Avenue,2.0
Empire Boulevard,154.0
Engert Avenue,2.0
Englewood Avenue,9.0
Enright Road,2.0
Epsom Course,1.0
Erasmus Street,8.0
Erastina Place,1.0
Erdman Place,1.0
Ericson Place,2.0
Ericsson Place,1.0
Ericsson Street,1.0
Erskine Place,1.0
Erskine Street,25.0
Essex Street,80.0
Etna Street,33.0
Euclid Avenue,65.0
Eunice Place,2.0
Eveleth Road,1.0
Evelyn Place,4.0
Everdell Avenue,2.0
Evergreen Avenue,111.0
Everitt Place,1.0
Everitt Street,1.0
Exchange Place,1.0
Exeter Street,6.0
Exterior Street,34.0
Faber Street,1.0
Fahy Avenue,5.0
Faile Street,54.0
Fairbanks Avenue,1.0
Fairbury Avenue,1.0
Fairfield Street,1.0
Fairmount Avenue,4.0
Fairmount Place,5.0
Fairview Avenue,31.0
Fairview Place,2.0
Falcon Avenue,1.0
Fanchon Place,1.0
Fanning Street,1.0
Far Rockaway Boulevard,1.0
Faraday Avenue,1.0
Farmers Boulevard,256.0
Farragut Avenue,2.0
Farragut Place,2.0
Farragut Road,147.0
Farrington Street,22.0
Fayette Street,3.0
Fdr Drive,1313.0
Fdr Drive Ramp,6.0
Featherbed Lane,27.0
Fenimore Street,23.0
Fenton Avenue,11.0
Fern Place,7.0
Ferndale Avenue,7.0
Fernside Place,3.0
Ferris Place,3.0
Ferris Street,4.0
Field Place,4.0
Field Street,1.0
Fieldston Road,4.0
Fieldway Avenue,3.0
Fillat Street,1.0
Fillmore Avenue,30.0
Fillmore Street,8.0
Findlay Avenue,17.0
Fingerboard Road,9.0
Finlay Street,1.0
Fish Avenue,12.0
Fisher Avenue,2.0
Fitchett Street,2.0
Flatbush Avenue,1059.0
Flatbush Avenue Extension,118.0
Flatlands 1 Street,1.0
Flatlands 3 Street,3.0
Flatlands 8 Street,1.0
Flatlands 9 Street,1.0
Flatlands Avenue,341.0
Fleet Street,4.0
Fleet Walk,2.0
Flushing Avenue,361.0
Foam Place,4.0
Foch Boulevard,63.0
Food Center Drive,21.0
Forbell Street,14.0
Ford Street,2.0
Fordham Street,1.0
Forest Avenue,300.0
Forest Hill Road,44.0
Forest Park Drive,6.0
Forest Parkway,11.0
Forley Street,13.0
Forrest Street,1.0
Forsyth Street,16.0
Fort George Avenue,6.0
Fort George Hill,20.0
Fort Greene Place,8.0
Fort Hamilton Parkway,133.0
Fort Independence Street,6.0
Fort Place,7.0
Fort Washington Avenue,53.0
Foster Avenue,195.0
Foster Road,14.0
Fountain Avenue,68.0
Four Corners Road,9.0
Fowler Avenue,9.0
Fox Hill Terrace,1.0
Fox Street,16.0
Frame Place,1.0
Francis Lewis Boulevard,301.0
Frankfort Street,7.0
Franklin Avenue,161.0
Franklin Place,2.0
Franklin Street,55.0
Frankton Street,1.0
Frawley Circle,1.0
Freeman Street,30.0
Freeport Loop,2.0
Fremont Avenue,1.0
Fresh Meadow Lane,10.0
Fresh Pond Road,100.0
Friel Place,1.0
Frisby Avenue,10.0
Frisco Avenue,1.0
Front Street,17.0
Frost Street,8.0
Fteley Avenue,26.0
Fuller Place,1.0
Fuller Street,1.0
Fulton Avenue,43.0
Fulton Street,582.0
Furman Avenue,8.0
Furman Street,24.0
G.C.P. / Jewel (Cdr),1.0
G.C.P. / L.I.E (Cdr),1.0
G.C.P. / Laguardia (Cdr),1.0
Gale Avenue,6.0
Gallatin Place,1.0
Gansevoort Boulevard,4.0
Garden Street,11.0
Gardner Avenue,7.0
Garfield Avenue,2.0
Garfield Place,4.0
Garfield Street,1.0
Garnet Street,8.0
Garretson Avenue,6.0
Garrison Avenue,28.0
Gates Avenue,185.0
Gateway Boulevard,2.0
Gateway Drive,76.0
Gatling Place,10.0
Gauldy Avenue,1.0
Gem Street,1.0
Genesee Avenue,7.0
George Street,12.0
Georgia Avenue,24.0
Georgia Road,3.0
Geranium Avenue,1.0
Gerard Avenue,58.0
Gerritsen Avenue,29.0
Gerry Street,6.0
Gervil Street,1.0
Gettysburg Street,6.0
Giffords Lane,12.0
Giles Place,3.0
Gillespie Avenue,1.0
Gillmore Street,8.0
Gipson Street,15.0
Givan Avenue,26.0
Glassboro Avenue,3.0
Gleane Street,10.0
Gleason Avenue,36.0
Glebe Avenue,5.0
Glen Avenue,1.0
Glen Street,6.0
Glendale Court,1.0
Glenmore Avenue,65.0
Glenwood Road,170.0
Glenwood Street,1.0
Glover Street,1.0
Goble Place,4.0
Godwin Terrace,3.0
Goethals Avenue,12.0
Goethals Road North,6.0
Gold Road,4.0
Gold Street,33.0
Goodwin Place,1.0
Gordon Street,18.0
Gothic Drive,2.0
Goulden Avenue,10.0
Gouverneur Avenue,1.0
Gouverneur Place,2.0
Gouverneur Street,4.0
Gowanus Expressway,5.0
Gowanus Expy (Bqe),275.0
Gowanus Ramp,15.0
Grace Avenue,12.0
Graff Avenue,1.0
Grafton Street,15.0
Graham Avenue,110.0
Gramercy Park North,3.0
Grand Army Plaza,20.0
Grand Avenue,218.0
Grand Central Parkway,133.0
Grand Central Pkwy,1369.0
Grand Concourse,462.0
Grand Street,255.0
Grandview Avenue,31.0
Granger Street,2.0
Granite Street,2.0
Grant Avenue,30.0
Grant Circle,4.0
Grant Highway,30.0
Grant Place,3.0
Grasmere Avenue,1.0
Grassmere Terrace,10.0
Grattan Street,3.0
Graves Street,3.0
Gravesend Neck Road,12.0
Grayson Street,7.0
Great Jones Street,1.0
Great Kills Road,6.0
Greaves Avenue,10.0
Greaves Lane,3.0
Greeley Avenue,11.0
Green Street,3.0
Greencroft Avenue,1.0
Greene Avenue,72.0
Greene Street,3.0
Greenfield Avenue,1.0
Greenpoint Avenue,102.0
Greentree Lane,1.0
Greenway Drive,1.0
Greenway Terrace,3.0
Greenwich Avenue,6.0
Greenwich Street,42.0
Greenwood Avenue,6.0
Grenada Place,4.0
Grenfell Street,6.0
Greystone Avenue,10.0
Grimsby Street,1.0
Grinnell Place,3.0
Griswold Avenue,5.0
Grosvenor Lane,1.0
Grosvenor Road,1.0
Grote Street,4.0
Grove Street,38.0
Guerlain Street,5.0
Guernsey Street,3.0
