filtered_street,WEIGHT
Ramona Avenue,1.0
Randall Avenue,94.0
Randolph Street,2.0
Rapelye Street,1.0
Raritan Avenue,1.0
Rathbun Avenue,3.0
Raymond Place,1.0
Reade Street,11.0
Reads Lane,1.0
Rector Place,8.0
Rector Street,1.0
Redfern Avenue,13.0
Redwood Avenue,1.0
Reed Street,2.0
Reeder Street,1.0
Reeds Mill Lane,8.0
Reeve Place,1.0
Reeves Avenue,6.0
Regal Walk,1.0
Regent Place,6.0
Regina Avenue,4.0
Regis Drive,10.0
Reid Avenue,77.0
Remington Street,17.0
Remsen Avenue,272.0
Remsen Place,3.0
Remsen Street,7.0
Rene Court,1.0
Renwick Avenue,1.0
Renwick Street,1.0
Reon Avenue,4.0
Reservoir Avenue,36.0
Reservoir Oval East,2.0
Reservoir Oval West,2.0
Retford Avenue,1.0
Revere Avenue,8.0
Revere Place,2.0
Review Avenue,26.0
Review Place,1.0
Rewe Street,3.0
Reynolds Avenue,1.0
Rhinelander Avenue,27.0
Richards Street,5.0
Richardson Avenue,5.0
Richardson Street,12.0
Richland Avenue,1.0
Richmond Avenue,314.0
Richmond Hill Road,43.0
Richmond Road,162.0
Richmond Street,3.0
Richmond Terrace,148.0
Richmond Valley Road,4.0
Rider Avenue,6.0
Ridge Boulevard,32.0
Ridge Street,9.0
Ridgecrest Avenue,1.0
Ridgewood Avenue,75.0
Ridgewood Place,2.0
Riedel Avenue,1.0
Rio Drive,1.0
Ritter Place,1.0
River Avenue,83.0
River Road,1.0
River Street,1.0
Riverdale Avenue,130.0
Riverside Boulevard,6.0
Riverside Drive,197.0
Riverside Drive West,1.0
Riverton Street,1.0
Rivington Avenue,6.0
Rivington Street,15.0
Robert F Wagner Place,6.0
Roberts Avenue,5.0
Robertson Place,3.0
Robin Lane,1.0
Robinson Street,11.0
Rochambeau Avenue,8.0
Rochester Avenue,91.0
Rockaway Avenue,299.0
Rockaway Beach Boulevard,156.0
Rockaway Boulevard,465.0
Rockaway Freeway,45.0
Rockaway Parkway,380.0
Rockaway Point Boulevard,10.0
Rockefeller Plaza,1.0
Rockland Avenue,28.0
Rockwell Place,3.0
Rockwood Street,2.0
Rocky Hill Road,7.0
Rodman Place,1.0
Rodney Street,15.0
Roebling Street,38.0
Roff Street,2.0
Rogers Avenue,245.0
Rogers Place,4.0
Roma Avenue,4.0
Rombouts Avenue,11.0
Rome Drive,1.0
Roosevelt Avenue,348.0
Roosevelt Drive,1.0
Roosevelt Place,1.0
Ropes Avenue,7.0
Rose Avenue,5.0
Rose Street,1.0
Rosebank Place,2.0
Rosedale Avenue,49.0
Rosewood Place,2.0
Ross Avenue,3.0
Ross Street,12.0
Rossville Avenue,7.0
Roswell Avenue,1.0
Rowland Street,3.0
Royce Place,3.0
Ruby Street,1.0
Rugby Road,10.0
Rumson Road,1.0
Rupert Avenue,1.0
Ruppert Place,1.0
Ruscoe Street,1.0
Russek Drive,1.0
Russell Street,9.0
Rust Street,10.0
Rutgers Slip,3.0
Rutgers Street,2.0
Rutherford Place,1.0
Rutland Road,67.0
Rutledge Avenue,1.0
Rutledge Street,10.0
Ryan Court,1.0
Ryawa Avenue,1.0
Ryder Avenue,1.0
Ryder Street,1.0
Ryer Avenue,29.0
Ryerson Street,1.0
Sable Avenue,2.0
Sacket Avenue,1.0
Sackett Street,17.0
Sackman Street,18.0
Sagamore Avenue,1.0
Sage Street,1.0
Saint Albans Place,1.0
Saint Anns Avenue,104.0
Saint Clair Place,10.0
Saint Edwards Street,14.0
Saint Felix Avenue,1.0
Saint Felix Street,2.0
Saint Francis Place,1.0
Saint James Place,23.0
Saint John Avenue,2.0
Saint Johns Avenue,4.0
Saint Johns Place,167.0
Saint Jude Place,2.0
Saint Lawrence Avenue,22.0
Saint Lukes Place,1.0
Saint Marks Avenue,72.0
Saint Marks Place,36.0
Saint Marys Avenue,4.0
Saint Marys Street,9.0
Saint Nicholas,7.0
Saint Nicholas Avenue,314.0
Saint Nicholas Place,8.0
Saint Nicholas Terrace,11.0
Saint Ouen Street,1.0
Saint Paul Avenue,2.0
Saint Pauls Avenue,9.0
Saint Pauls Court,2.0
Saint Pauls Place,5.0
Saint Peters Avenue,2.0
Saint Raymond Avenue,9.0
Saint Theresa Avenue,4.0
Sampson Avenue,7.0
Sand Lane,21.0
Sandford Street,2.0
Sands Place,1.0
Sands Street,28.0
Sanford Avenue,61.0
Saratoga Avenue,122.0
Saull Street,5.0
Saultell Avenue,11.0
Saunders Street,11.0
Sayres Avenue,20.0
Schaefer Street,15.0
Schenck Avenue,39.0
Schenck Court,1.0
Schenck Street,6.0
Schenectady Avenue,161.0
Schermerhorn Street,34.0
Schley Avenue,11.0
Schmidts Lane,1.0
Schofield Street,1.0
Scholes Street,45.0
School Road,7.0
Schroeders Avenue,10.0
Schurz Avenue,6.0
Schuyler Street,3.0
Scott Avenue,8.0
Scribner Avenue,3.0
Sea Breeze Avenue,4.0
Seabring Street,1.0
Seabury Avenue,4.0
Seabury Place,2.0
Seabury Street,5.0
Seagirt Avenue,6.0
Seagirt Boulevard,94.0
Seaman Avenue,17.0
Seaver Avenue,3.0
Seaview Avenue,97.0
Secor Avenue,5.0
Seddon Street,1.0
Sedgwick Avenue,152.0
Sedgwick Place,2.0
Seeley Street,5.0
Seguine Avenue,5.0
Seguine Loop,1.0
Seguine Place,1.0
Seigel Street,9.0
Selfridge Street,3.0
Selover Road,2.0
Selwyn Avenue,11.0
Senator Street,8.0
Seneca Avenue,52.0
Seneca Street,1.0
Seton Avenue,3.0
Seton Place,1.0
Seward Avenue,40.0
Sexton Place,4.0
Seymour Avenue,15.0
Shad Creek Road,1.0
Shakespeare Avenue,28.0
Shale Street,1.0
Shaler Avenue,1.0
Sharpe Avenue,7.0
Sharrott Avenue,8.0
Sharrotts Road,3.0
Sheepshead Bay Road,35.0
Sheffield Avenue,28.0
Sheldon Avenue,2.0
Shell Road,23.0
Shepherd Avenue,25.0
Sheraden Avenue,4.0
Sheridan Avenue,67.0
Sheridan Expressway,59.0
Sherman Avenue,70.0
Sherman Street,1.0
Shiloh Avenue,1.0
Shiloh Street,1.0
Shirra Avenue,1.0
Shore Avenue,5.0
Shore Boulevard,39.0
Shore Drive,1.0
Shore Front Parkway,33.0
Shore Parkway,123.0
Shore Road,20.0
Shore Road Drive,13.0
Sidway Place,1.0
Signs Road,11.0
Silver Road,1.0
Silver Street,9.0
Simmons Lane,1.0
Simonson Avenue,5.0
Simonson Place,3.0
Simonson Street,1.0
Simpson Street,10.0
Skidmore Avenue,4.0
Skillman Avenue,46.0
Skillman Street,15.0
Sky Lane,1.0
Slaight Street,1.0
Slater Boulevard,3.0
Sloan Street,1.0
Slocum Place,1.0
Slosson Avenue,23.0
Smart Street,4.0
Smedley Street,5.0
Smith Place,1.0
Smith Street,55.0
Snediker Avenue,43.0
Snyder Avenue,107.0
Sobel Court,2.0
Soho Drive,1.0
Somers Street,6.0
Somerset Street,3.0
Sound View Avenue,68.0
South 1 Street,19.0
South 10 Street,3.0
South 2 Street,18.0
South 3 Street,21.0
South 4 Street,29.0
South 5 Place,6.0
South 5 Street,16.0
South 6 Street,2.0
South 8 Street,9.0
South 9 Street,5.0
South Avenue,81.0
South Bridge Street,1.0
South Conduit Avenue,360.0
South Elliott Place,5.0
South End Avenue,17.0
South Gannon Avenue,10.0
South Goff Avenue,2.0
South Oak Drive,5.0
South Oxford Street,9.0
South Pinehurst Avenue,1.0
South Portland Avenue,10.0
South Railroad Avenue,12.0
South Railroad Street,1.0
South Road,23.0
South Street,50.0
South William Street,1.0
Southern Boulevard,322.0
Southern Parkway,11.0
Southgate Street,1.0
Spark Place,1.0
Sparkhill Avenue,1.0
Spencer Avenue,2.0
Spencer Court,2.0
Spencer Place,1.0
Spencer Street,17.0
Spirit Lane,1.0
Spofford Avenue,12.0
Sprague Avenue,1.0
Spratt Avenue,1.0
Spring Street,38.0
Springfield Boulevard,272.0
Springhill Avenue,1.0
Spritz Road,1.0
Stadium Avenue,10.0
Staff Street,2.0
Stagg Street,4.0
Stanhope Street,31.0
Stanley Avenue,102.0
Stanton Street,20.0
Stanwich Street,1.0
Stanwix Street,2.0
Starling Avenue,8.0
Starr Avenue,5.0
Starr Street,20.0
State Street,17.0
Staten Island Expressway,294.0
Station Road,7.0
Stebbins Avenue,14.0
Steenwick Avenue,2.0
Steinway Avenue,3.0
Steinway Street,175.0
Stephen Loop,1.0
Stephen Street,6.0
Stephens Court,1.0
Sterling Place,70.0
Sterling Street,10.0
Steuben Avenue,6.0
Steuben Street,25.0
Stewart Avenue,11.0
Stewart Road,1.0
Stewart Street,1.0
Stickney Place,1.0
Stillwell Avenue,115.0
Stobe Avenue,1.0
Stockholm Street,19.0
Stone Avenue,89.0
Stone Street,5.0
Story Avenue,56.0
Strang Avenue,7.0
Stratford Avenue,26.0
Stratford Road,5.0
Stratton Street,1.0
Strauss Street,21.0
Street,28.0
Strickland Avenue,6.0
Strong Avenue,1.0
Stronghurst Avenue,1.0
Stryker Street,1.0
Stuart Street,8.0
Sturges Street,1.0
Stuyvesant Avenue,46.0
Stuyvesant Place,7.0
Suffolk Street,7.0
Sullivan Place,10.0
Sullivan Street,14.0
Summerfield Avenue,2.0
Summit Avenue,4.0
Sumner Avenue,4.0
Sumner Place,4.0
Sumpter Street,9.0
Sunbury Road,1.0
Sunnyside Avenue,4.0
Sunnyside Terrace,2.0
Sunrise Highway,48.0
Surf Avenue,93.0
Sutphin Boulevard,165.0
Sutter Avenue,371.0
Sutton Place,5.0
Sutton Place South,1.0
Sutton Street,1.0
Suydam Street,14.0
Swan Street,1.0
Swinnerton Street,1.0
Swinton Avenue,2.0
Sycamore Street,3.0
Taaffe Place,12.0
Taipei Court,1.0
Tapscott Street,31.0
Targee Street,80.0
Taylor Avenue,26.0
Taylor Street,6.0
Tehama Street,8.0
Teller Avenue,33.0
Ten Eyck Walk,1.0
Tenbroeck Avenue,7.0
Tenney Place,3.0
Tennis Court,4.0
Tennis Place,1.0
Tennyson Drive,3.0
Terrace Place,3.0
Terrace Street,1.0
Terrace View Avenue,7.0
Thames Street,2.0
Thatford Avenue,4.0
Thayer Street,11.0
Thieriot Avenue,20.0
Thomas Street,2.0
Thompson Street,13.0
Thomson Avenue,57.0
Thornton Place,1.0
Thornycroft Avenue,1.0
Throgs Neck Boulevard,3.0
Throgs Neck Bridge,17.0
Throgs Neck Expressway,15.0
Throgs Neck Expy,1.0
Throop Avenue,92.0
Thursby Avenue,6.0
Thurston Street,3.0
Thwaites Place,5.0
Tibbett Avenue,7.0
Tiebout Avenue,6.0
Tiemann Avenue,6.0
Tiemann Place,2.0
Tierney Place,1.0
Tiffany Place,2.0
Tiffany Street,71.0
Tilden Avenue,69.0
Tilden Street,4.0
Tillary Street,89.0
Tillotson Avenue,35.0
Times Square,3.0
Timpson Place,10.0
Tinton Avenue,28.0
Titus Avenue,1.0
Todt Hill Road,22.0
Token Street,1.0
Tomlinson Avenue,8.0
Tompkins Avenue,120.0
Tompkins Place,1.0
Tonsor Street,1.0
Topping Avenue,15.0
Torry Avenue,3.0
Totten Street,1.0
Tottenville Place,1.0
Townsend Avenue,19.0
Traffic Avenue,4.0
Transverse Road Number Four,15.0
Transverse Road Number One,15.0
Transverse Road Number Three,8.0
Transverse Road Number Two,22.0
Trantor Place,3.0
Tratman Avenue,5.0
Travis Avenue,12.0
Treadwell Avenue,2.0
Triborough Bridge,31.0
Trinity Avenue,7.0
Trinity Place,6.0
Trotting Course Lane,1.0
Troutman Street,31.0
Troy Avenue,97.0
Truxton Street,11.0
Tryon Avenue,4.0
Tudor City Place,2.0
Tudor Place,3.0
Turf Road,1.0
Turin Drive,1.0
Turnbull Avenue,5.0
Turner Avenue,1.0
Tyler Avenue,4.0
Tyndall Avenue,1.0
Tysens Lane,24.0
Ulmer Street,8.0
Undercliff Avenue,23.0
Underhill Avenue,34.0
Union Avenue,123.0
Union Hall Street,10.0
Union Square East,8.0
Union Square West,2.0
Union Street,205.0
Union Turnpike,258.0
Unionport Road,28.0
University Avenue,190.0
University Park,2.0
University Place,5.0
Unknown,45.0
Urbana Street,3.0
Utica Avenue,673.0
Utopia Parkway,87.0
Utter Avenue,3.0
Uxbridge Street,3.0
Valentine Avenue,78.0
Valentine Place,1.0
Valles Avenue,1.0
Van Brunt Street,10.0
Van Buren Street,26.0
Van Dam Street,2.0
Van Sicklen Street,5.0
Van Siclen Avenue,79.0
Van Siderin Avenue,13.0
Van Wyck Expressway (Cdr),1.0
Van Wyck Expwy,963.0
Vanallen Avenue,1.0
Vanburen Street,3.0
Vancleef Street,3.0
Vancortlandt Avenue,1.0
Vancortlandt Avenue East,11.0
Vancortlandt Avenue West,13.0
Vancortlandt Park East,5.0
Vancortlandt Park West,1.0
Vandalia Avenue,19.0
Vandam Street,102.0
Vanderbilt Avenue,105.0
Vanderbilt Street,2.0
Vanderveer Place,1.0
Vanderveer Street,1.0
Vandoren Street,3.0
Vanduzer Street,31.0
Vanhorn Street,7.0
Vanloon Street,4.0
Vanname Avenue,1.0
Vannest Avenue,20.0
Vanriper Street,2.0
Vanwyck Expressway,125.0
Vanzandt Avenue,3.0
Varet Street,3.0
Varick Avenue,22.0
Varick Street,70.0
Vaswani Avenue,1.0
Vaughan Street,1.0
Vermilyea Avenue,18.0
Vermont Avenue,2.0
Vermont Place,15.0
Vermont Street,22.0
Vernon Avenue,17.0
Vernon Boulevard,127.0
Verona Place,1.0
Verona Street,3.0
Veronica Place,9.0
Verrazano Bridge,10.0
Verrazano Bridge Lower,1.0
Verrazano Bridge Upper,12.0
Vesey Street,14.0
Vestry Street,1.0
Veterans Avenue,9.0
Veterans Road East,2.0
Veterans Road West,7.0
Victor Street,5.0
Victory Boulevard,179.0
Viele Avenue,13.0
Villa Avenue,11.0
Village Road,1.0
Village Road East,3.0
Vincent Avenue,3.0
Vine Street,1.0
Vireo Avenue,2.0
Virgil Place,3.0
Virginia Avenue,10.0
Virginia Place,1.0
Virginia Street,7.0
Visitation Place,1.0
Vleigh Place,8.0
Voorhies Avenue,26.0
Vyse Avenue,28.0
W Washington Avenue,3.0
Wadsworth Avenue,32.0
Wadsworth Terrace,6.0
Wainwright Avenue,13.0
Wakeman Place,7.0
Walbrooke Avenue,2.0
Waldo Avenue,8.0
Waldorf Court,1.0
Waldron Street,9.0
Wales Avenue,13.0
Walker Street,30.0
Wall Street,13.0
Wallabout Street,26.0
Wallace Avenue,24.0
Walloon Street,4.0
Walnut Avenue,16.0
Walsh Court,1.0
Waltham Street,8.0
Walton Avenue,131.0
Walton Street,4.0
Walworth Street,7.0
Wanamaker Place,3.0
Wandell Avenue,1.0
Ward Avenue,10.0
Wareham Place,1.0
Waring Avenue,28.0
Warren Street,47.0
Warsoff Place,3.0
Warwick Street,38.0
Washington Avenue,267.0
Washington Bridge,7.0
Washington Bridge 181 St,4.0
Washington Place,4.0
Washington Square East,3.0
Washington Square North,1.0
Washington Square South,4.0
Washington Square Village,1.0
Washington Square West,3.0
Washington Street,41.0
Watchogue Road,14.0
Water Street,47.0
Waterbury Avenue,18.0
Waterbury Street,10.0
Waterloo Place,3.0
Waters Place,26.0
Watkins Avenue,3.0
Watkins Street,5.0
Watson Avenue,72.0
Watson Place,4.0
Watts Street,24.0
Wave Street,2.0
Waverly Avenue,13.0
Waverly Place,3.0
Wayne Avenue,16.0
Wayne Street,1.0
Webb Avenue,31.0
Webster Avenue,478.0
Weeks Avenue,7.0
Weirfield Street,26.0
Weldon Street,1.0
Weller Avenue,3.0
Weller Lane,3.0
Welling Court,1.0
Wellman Avenue,2.0
Wells Street,1.0
Wentworth Avenue,1.0
West 1 Street,5.0
West 10 Street,49.0
West 100 Street,16.0
West 101 Street,5.0
West 102 Street,7.0
West 103 Street,12.0
West 104 Street,18.0
West 105 Street,21.0
West 107 Street,11.0
West 108 Street,16.0
West 109 Street,18.0
West 11 Street,16.0
West 110 Street,36.0
West 111 Street,29.0
West 112 Street,27.0
West 113 Street,23.0
West 114 Street,19.0
West 115 Street,27.0
West 116 Street,85.0
West 117 Street,16.0
West 118 Street,17.0
West 119 Street,29.0
West 12 Street,35.0
West 120 Street,23.0
West 121 Street,25.0
West 122 Street,19.0
West 123 Street,26.0
West 124 Street,15.0
West 125 Street,205.0
West 126 Street,44.0
West 127 Street,50.0
West 128 Street,12.0
West 129 Street,45.0
West 13 Road,1.0
West 13 Street,18.0
West 130 Street,29.0
West 131 Street,32.0
West 132 Street,33.0
West 133 Street,43.0
West 134 Street,22.0
West 135 Street,97.0
West 136 Street,30.0
West 137 Street,41.0
West 138 Street,27.0
West 139 Street,27.0
West 14 Street,43.0
West 140 Street,50.0
West 141 Street,54.0
West 142 Street,34.0
West 143 Street,40.0
West 144 Street,38.0
West 145 Street,214.0
West 146 Street,28.0
West 147 Street,17.0
West 148 Street,26.0
West 149 Street,21.0
West 15 Street,49.0
West 150 Street,22.0
West 151 Street,27.0
West 152 Street,27.0
West 153 Street,12.0
West 154 Street,11.0
West 155 Street,78.0
West 156 Street,9.0
West 157 Street,20.0
West 158 Street,22.0
West 159 Street,19.0
West 16 Street,48.0
West 160 Street,10.0
West 161 Street,24.0
West 162 Street,19.0
West 163 Street,26.0
West 164 Street,20.0
West 165 Street,42.0
West 166 Street,9.0
West 167 Street,30.0
West 168 Street,39.0
West 169 Street,35.0
West 17 Street,37.0
West 170 Street,49.0
West 171 Street,21.0
West 172 Street,32.0
West 173 Street,22.0
West 174 Street,34.0
West 175 Street,13.0
West 176 Street,26.0
West 177 Street,37.0
West 178 Street,36.0
West 179 Street,48.0
West 18 Street,36.0
West 180 Street,19.0
West 181 Street,80.0
West 182 Street,18.0
West 183 Street,30.0
West 184 Street,18.0
West 185 Street,7.0
West 186 Street,8.0
West 187 Street,18.0
West 188 Street,8.0
West 189 Street,4.0
West 19 Street,30.0
West 190 Street,15.0
West 191 Street,8.0
West 192 Street,6.0
West 193 Street,6.0
West 195 Street,13.0
West 196 Street,5.0
West 197 Street,1.0
West 2 Street,18.0
West 20 Street,14.0
West 202 Street,5.0
West 203 Street,1.0
West 204 Street,20.0
West 205 Street,3.0
West 206 Street,5.0
West 207 Street,96.0
West 21 Street,36.0
West 211 Street,5.0
West 212 Street,1.0
West 213 Street,5.0
West 214 Street,1.0
West 215 Street,9.0
West 216 Street,1.0
West 217 Street,1.0
West 218 Street,11.0
West 22 Street,30.0
West 220 Street,1.0
West 225 Street,23.0
West 227 Street,2.0
West 228 Street,2.0
West 23 Street,70.0
West 230 Street,75.0
West 231 Street,43.0
West 232 Street,4.0
West 233 Street,6.0
West 234 Street,10.0
West 235 Street,17.0
West 236 Street,7.0
West 237 Street,22.0
West 238 Street,20.0
West 239 Street,13.0
West 24 Street,45.0
West 240 Street,7.0
West 242 Street,2.0
West 245 Street,1.0
West 246 Street,3.0
West 25 Street,38.0
West 250 Street,1.0
West 254 Street,4.0
West 255 Street,1.0
West 256 Street,6.0
West 259 Street,7.0
West 26 Street,41.0
West 260 Street,2.0
West 261 Street,7.0
West 262 Street,4.0
West 263 Street,1.0
West 27 Street,28.0
West 28 Street,33.0
West 29 Street,51.0
West 3 Street,30.0
West 30 Street,50.0
West 31 Street,40.0
West 32 Street,19.0
West 33 Street,46.0
West 34 Street,110.0
West 35 Street,45.0
West 36 Street,61.0
West 37 Street,63.0
West 38 Street,44.0
West 39 Street,42.0
West 4 Street,24.0
West 40 Street,74.0
West 41 Street,49.0
West 42 Street,157.0
West 43 Street,61.0
West 44 Street,58.0
West 45 Street,50.0
West 46 Street,59.0
West 47 Street,54.0
West 48 Street,37.0
West 49 Street,43.0
West 5 Street,27.0
West 50 Street,37.0
West 51 Street,31.0
West 52 Street,18.0
West 53 Street,18.0
West 54 Street,47.0
West 55 Street,24.0
West 56 Street,23.0
West 57 Street,107.0
West 58 Street,35.0
West 59 Street,15.0
West 6 Street,33.0
West 60 Street,9.0
West 61 Drive,3.0
West 61 Street,10.0
West 62 Street,12.0
West 63 Street,1.0
West 64 Street,4.0
West 65 Street,25.0
West 66 Street,19.0
West 67 Street,6.0
West 68 Street,5.0
West 69 Street,8.0
West 7 Street,9.0
West 70 Street,15.0
West 71 Street,16.0
West 72 Street,31.0
West 73 Street,10.0
West 74 Street,11.0
West 75 Street,11.0
West 76 Street,10.0
West 77 Street,7.0
West 78 Street,7.0
West 79 Street,21.0
West 8 Street,45.0
West 80 Street,12.0
West 81 Street,11.0
West 82 Street,10.0
West 83 Street,15.0
West 84 Street,8.0
West 85 Street,11.0
West 86 Street,15.0
West 87 Street,15.0
West 88 Street,8.0
West 89 Street,12.0
West 9 Street,40.0
West 90 Street,18.0
West 91 Street,9.0
West 92 Street,11.0
West 93 Street,16.0
West 94 Street,6.0
West 95 Street,22.0
West 96 Street,38.0
West 97 Street,21.0
West 98 Street,5.0
West 99 Street,4.0
West Avenue,9.0
West Brighton Avenue,6.0
West Broadway,36.0
West Burnside Avenue,53.0
West Caswell Avenue,1.0
West Clarke Place,1.0
West Drive,35.0
West End Avenue,81.0
West Farms Road,19.0
West Fingerboard Road,8.0
West Fordham Road,286.0
West Gun Hill Road,15.0
West Houston Street,47.0
West Kingsbridge Road,61.0
West Lake Drive,3.0
West Mosholu Parkway North,6.0
West Mosholu Parkway South,2.0
West Mount Eden Avenue,10.0
West Service Road,1.0
West Shore Expressway,85.0
West Side Highway,1.0
West Street,209.0
West Thames Street,1.0
West Tremont Avenue,67.0
Westbourne Avenue,1.0
Westchester Avenue,457.0
Westchester Square,10.0
Westcott Boulevard,1.0
Western Avenue,3.0
Westervelt Avenue,16.0
Westgate Street,6.0
Westmoreland Street,1.0
Westside Avenue,2.0
Westwood Avenue,3.0
Wetherole Street,8.0
Wexford Terrace,11.0
Whalley Avenue,1.0
Wharton Place,1.0
Wheatley Street,2.0
Wheeler Avenue,18.0
Whipple Street,25.0
White Plains Road,504.0
White Street,8.0
Whitehall Street,10.0
Whitehall Terrace,3.0
Whitestone Expressway,223.0
Whitlock Avenue,9.0
Whitman Avenue,1.0
Whitney Avenue,17.0
Whittemore Avenue,1.0
Whittier Street,9.0
Whitty Lane,1.0
Wickham Avenue,14.0
Wilcox Avenue,2.0
Wilcox Street,5.0
Wild Avenue,5.0
Wilder Avenue,26.0
Wilkens Avenue,2.0
Wilkinson Avenue,1.0
Willets Point Boulevard,19.0
Willett Avenue,11.0
Willett Street,3.0
William Street,19.0
Williams Avenue,52.0
Williams Court,5.0
Williams Place,3.0
Williamsbridge Road,82.0
Williamsburg Bridge,19.0
Williamsburg Bridge Inner Roadwa,4.0
Williamsburg Bridge Outer Roadwa,10.0
Williamsburg Street East,16.0
Williamsburg Street West,35.0
Williamson Avenue,1.0
Willis Ave Bridge,2.0
Willis Avenue,76.0
Willis Avenue Bridge Approach,4.0
Willmohr Street,16.0
Willoughby Avenue,59.0
Willoughby Street,18.0
Willow Avenue,7.0
Willow Lane,3.0
Willow Road West,6.0
Willow Street,2.0
Willowbrook Road,10.0
Wilson Avenue,154.0
Wilson Street,14.0
Winant Avenue,7.0
Winant Street,2.0
Winchester Avenue,1.0
Winchester Boulevard,17.0
Windermere Road,3.0
Windham Loop,2.0
Windsor Place,4.0
Windsor Road,3.0
Wingham Street,1.0
Winham Avenue,1.0
Winter Avenue,1.0
Winthrop Street,145.0
Wissman Avenue,4.0
Withers Street,9.0
Witthoff Street,4.0
Wolcott Avenue,3.0
Wolcott Street,1.0
Wolkoff Lane,1.0
Wood Avenue,6.0
Wood Road,6.0
Wood Street,8.0
Woodbine Street,22.0
Woodcrest Road,1.0
Woodhaven Boulevard,433.0
Woodhaven Court,1.0
Woodhull Avenue,11.0
Woodpoint Road,1.0
Woodrow Road,10.0
Woodruff Avenue,9.0
Woodruff Lane,1.0
Woods Of Arden Road,8.0
Woods Place,7.0
Woodside Avenue,48.0
Woodvale Avenue,1.0
Woodward Avenue,40.0
Woodycrest Avenue,18.0
Woolley Avenue,6.0
Wooster Street,3.0
Worth Street,15.0
Worthen Street,2.0
Wortman Avenue,58.0
Wright Street,3.0
Wyatt Street,8.0
Wyckoff Avenue,85.0
Wyckoff Street,7.0
Wyona Street,39.0
Wythe Avenue,89.0
Wythe Place,10.0
Xenia Street,1.0
Yates Avenue,18.0
Yellowstone Boulevard,45.0
Yetman Avenue,1.0
York Avenue,96.0
York Street,4.0
Young Avenue,4.0
Young Street,1.0
Yukon Avenue,6.0
Zeiser Place,1.0
Zerega Avenue,65.0
Zulette Avenue,7.0
